service_id,date,exception_type
IDFM:15662,20251018,1
IDFM:20388,20250928,2
IDFM:50068,20250925,1
IDFM:50068,20250924,1
IDFM:50068,20250923,1
IDFM:50068,20250922,1
IDFM:50068,20250930,1
IDFM:50068,20250929,1
IDFM:50126,20250925,1
IDFM:50173,20250919,1
IDFM:50173,20250926,1
IDFM:50185,20250925,1
IDFM:50185,20250924,1
IDFM:50200,20250925,2
IDFM:50200,20251007,1
IDFM:50200,20251006,1
IDFM:50200,20251014,1
IDFM:50200,20251013,1
IDFM:59356,20250924,1
IDFM:59457,20250925,1
IDFM:74155,20250921,1
IDFM:94559,20251010,2
IDFM:98098,20250928,1
IDFM:98098,20251005,1
IDFM:109086,20250921,2
IDFM:113737,20251001,1
IDFM:113737,20251003,2
IDFM:113737,20251010,2
IDFM:113742,20251001,1
IDFM:113742,20250930,1
IDFM:113742,20251002,2
IDFM:113742,20251009,2
IDFM:113742,20251006,2
IDFM:113742,20251013,2
IDFM:113744,20250925,1
IDFM:113744,20250922,1
IDFM:113744,20251001,1
IDFM:113744,20250930,1
IDFM:113744,20250929,1
IDFM:113744,20251003,2
IDFM:113744,20251010,2
IDFM:113744,20251016,1
IDFM:113959,20251003,1
IDFM:113959,20251002,1
IDFM:113959,20251001,2
IDFM:113959,20250930,2
IDFM:113959,20251010,1
IDFM:113959,20251009,1
IDFM:113959,20251006,1
IDFM:113959,20251013,1
IDFM:124199,20250925,1
IDFM:124199,20250924,1
IDFM:124238,20250919,1
IDFM:124238,20250926,1
IDFM:124238,20250925,2
IDFM:124238,20250924,2
IDFM:124238,20251007,1
IDFM:124238,20251006,1
IDFM:124238,20251014,1
IDFM:124238,20251013,1
IDFM:124270,20250925,1
IDFM:124270,20250924,1
IDFM:124627,20250925,2
IDFM:124627,20250924,2
IDFM:124627,20251007,1
IDFM:124627,20251006,1
IDFM:124627,20251014,1
IDFM:124627,20251013,1
IDFM:129367,20250921,2
IDFM:129418,20250921,2
IDFM:138986,20250925,1
IDFM:138986,20250924,1
IDFM:138986,20250928,2
IDFM:138986,20251007,2
IDFM:138986,20251006,2
IDFM:139005,20250926,2
IDFM:139005,20250925,2
IDFM:139005,20250924,2
IDFM:139005,20251005,1
IDFM:139005,20251012,1
IDFM:139005,20251007,1
IDFM:139005,20251006,1
IDFM:139005,20251014,1
IDFM:139005,20251013,1
IDFM:139012,20250920,1
IDFM:139012,20250927,1
IDFM:139021,20250919,1
IDFM:139021,20250926,1
IDFM:139040,20251005,1
IDFM:139040,20251012,1
IDFM:139062,20250927,2
IDFM:139062,20250926,2
IDFM:139062,20251005,1
IDFM:139062,20251012,1
IDFM:139101,20250920,1
IDFM:139101,20250927,1
IDFM:139101,20250926,2
IDFM:139101,20250925,2
IDFM:139101,20250924,2
IDFM:139101,20251005,1
IDFM:139101,20251012,1
IDFM:139101,20251007,1
IDFM:139101,20251006,1
IDFM:139101,20251014,1
IDFM:139101,20251013,1
IDFM:139388,20250919,1
IDFM:139388,20250920,2
IDFM:139388,20250926,1
IDFM:139388,20250927,2
IDFM:139388,20251005,1
IDFM:139388,20251012,1
IDFM:139436,20250925,1
IDFM:139436,20250924,1
IDFM:139436,20250923,1
IDFM:139436,20250922,1
IDFM:139436,20250927,2
IDFM:139436,20251005,1
IDFM:139436,20250930,1
IDFM:139436,20250929,1
IDFM:139436,20251012,1
IDFM:139574,20250919,1
IDFM:139574,20250920,2
IDFM:139574,20250926,1
IDFM:139574,20250927,2
IDFM:139729,20250920,1
IDFM:139729,20250927,1
IDFM:139729,20250926,2
IDFM:139729,20250925,2
IDFM:139729,20250924,2
IDFM:139729,20251007,1
IDFM:139729,20251006,1
IDFM:139729,20251014,1
IDFM:139729,20251013,1
IDFM:139735,20250920,1
IDFM:139735,20250927,1
IDFM:139735,20250925,2
IDFM:139735,20250924,2
IDFM:139735,20251007,1
IDFM:139735,20251006,1
IDFM:139735,20251014,1
IDFM:139735,20251013,1
IDFM:139801,20250920,1
IDFM:139801,20250927,1
IDFM:139801,20250925,2
IDFM:139801,20250924,2
IDFM:139801,20251007,1
IDFM:139801,20251006,1
IDFM:139801,20251014,1
IDFM:139801,20251013,1
IDFM:139886,20250926,2
IDFM:139886,20250925,2
IDFM:139886,20250924,2
IDFM:139886,20251007,1
IDFM:139886,20251006,1
IDFM:139886,20251014,1
IDFM:139886,20251013,1
IDFM:141165,20250926,2
IDFM:141247,20250925,1
IDFM:141247,20250924,1
IDFM:141294,20250921,1
IDFM:141294,20250928,1
IDFM:141294,20250925,1
IDFM:141294,20250924,1
IDFM:141294,20250923,1
IDFM:141294,20250922,1
IDFM:141294,20250930,1
IDFM:141294,20250929,1
IDFM:141302,20250921,1
IDFM:141302,20250928,1
IDFM:141302,20250927,2
IDFM:141310,20250921,1
IDFM:141310,20250928,1
