service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
IDFM:1,1,1,1,0,1,1,1,20251219,20251231
IDFM:1042,0,0,0,0,0,0,1,20251228,20251228
IDFM:1046,0,0,0,0,0,1,0,20251227,20260103
IDFM:1100,0,0,0,0,0,1,0,20251220,20251220
IDFM:1101,0,0,0,0,0,0,1,20251221,20251221
IDFM:1178,0,0,0,0,0,0,1,20260104,20260111
IDFM:1754,0,1,0,1,0,0,0,20260106,20260115
IDFM:4433,1,0,0,0,0,0,1,20251221,20260112
IDFM:8246,0,0,0,0,0,0,1,20251228,20260111
IDFM:8586,0,1,1,1,1,1,1,20251219,20260117
IDFM:10000,1,1,1,1,1,0,0,20260105,20260116
IDFM:10006,0,0,0,0,0,0,1,20260111,20260111
IDFM:10062,0,0,0,0,0,1,0,20260110,20260117
IDFM:10091,1,1,1,0,1,0,0,20251219,20260102
IDFM:10092,0,0,0,0,0,1,0,20251220,20260103
IDFM:10096,0,0,0,0,0,0,1,20251221,20260104
IDFM:10178,0,0,0,1,0,0,0,20251225,20260101
IDFM:10222,0,0,0,0,1,0,0,20251219,20251219
IDFM:10224,1,1,1,0,1,0,0,20251222,20260102
IDFM:10306,1,1,0,1,1,0,0,20260105,20260116
IDFM:10336,0,0,1,0,0,0,0,20260107,20260114
IDFM:10412,1,1,1,0,1,0,0,20251219,20260116
IDFM:10470,0,0,0,0,0,1,0,20251220,20260117
IDFM:10658,0,0,0,0,0,0,1,20251221,20260111
IDFM:11394,0,0,0,0,0,1,0,20251220,20260110
IDFM:12673,1,1,0,0,1,0,0,20251219,20260102
IDFM:13454,1,1,1,1,1,1,0,20251219,20260117
IDFM:13456,0,0,1,0,0,1,0,20251220,20260117
IDFM:14854,0,0,0,0,1,0,0,20251219,20260116
IDFM:18021,1,1,1,1,1,1,1,20251219,20260104
IDFM:18037,1,1,1,1,1,1,0,20260105,20260117
IDFM:18039,0,1,1,1,1,1,0,20260106,20260117
IDFM:18053,0,0,0,0,0,1,1,20251220,20260104
IDFM:18054,1,1,1,0,1,1,1,20251219,20260104
IDFM:18078,0,0,0,0,0,1,0,20260110,20260117
IDFM:19454,0,0,0,0,0,0,1,20251228,20260104
IDFM:20175,0,0,1,0,1,0,0,20251224,20260116
IDFM:20183,1,1,1,0,1,0,0,20251222,20260116
IDFM:20186,1,1,0,0,0,0,0,20251222,20260115
IDFM:21219,0,1,1,1,0,1,0,20251223,20260103
IDFM:21375,0,1,1,1,1,1,0,20260106,20260117
IDFM:21478,1,0,0,0,0,0,0,20260112,20260112
IDFM:21568,0,0,0,0,1,1,0,20251219,20251220
IDFM:21762,1,0,0,0,0,0,0,20251229,20260105
IDFM:22499,0,0,0,0,0,1,0,20251227,20260117
IDFM:22662,1,1,0,0,1,0,0,20251222,20260102
IDFM:22852,0,0,0,0,0,1,1,20251220,20251221
IDFM:22891,0,0,0,0,0,1,1,20251227,20260104
IDFM:24375,1,0,0,0,0,0,1,20251228,20260105
IDFM:24447,1,1,1,0,1,1,0,20251222,20260117
IDFM:24663,0,0,0,0,0,1,1,20251227,20260117
IDFM:24951,0,0,0,0,0,0,1,20251221,20251228
IDFM:26847,1,1,1,0,1,1,0,20251219,20251231
IDFM:27476,0,0,0,1,0,0,1,20251225,20260111
IDFM:28531,0,0,0,0,1,1,0,20251226,20260110
IDFM:28858,0,0,0,0,0,1,0,20251220,20260117
IDFM:33030,0,0,0,0,1,1,0,20251220,20260102
IDFM:33041,0,0,0,1,0,0,1,20251221,20260101
IDFM:38740,0,1,0,0,1,0,0,20251219,20260116
IDFM:38741,0,1,1,0,1,0,0,20251219,20260116
IDFM:38746,0,0,0,0,0,1,0,20251220,20260117
IDFM:39481,0,0,1,0,0,0,0,20260107,20260114
IDFM:46785,0,0,0,0,0,0,1,20251221,20260104
IDFM:46833,0,0,0,0,0,0,1,20251225,20260111
IDFM:49924,0,1,1,0,1,0,0,20251219,20260116
IDFM:55997,1,0,0,0,0,0,0,20251222,20260112
IDFM:61667,0,0,0,1,1,1,1,20251220,20260102
IDFM:72130,0,0,0,0,0,1,0,20251220,20260117
IDFM:72547,0,0,1,0,1,0,0,20251219,20260116
IDFM:73588,0,0,0,0,1,0,0,20251219,20260116
IDFM:78963,0,0,0,1,1,0,0,20260108,20260116
IDFM:80856,1,1,0,0,0,0,0,20251219,20251230
IDFM:98389,0,0,0,1,0,0,1,20251219,20260104
IDFM:100000,1,1,1,1,1,0,0,20251219,20260116
IDFM:100001,0,0,0,0,0,1,0,20251220,20260117
IDFM:100002,0,1,1,1,1,0,0,20251219,20260116
IDFM:100003,1,0,0,0,0,0,0,20260105,20260112
IDFM:100007,0,0,0,0,0,0,1,20251221,20260111
IDFM:100009,0,1,1,1,0,0,0,20260106,20260115
IDFM:100012,1,0,0,0,1,0,0,20251219,20260116
IDFM:100039,0,0,0,0,1,0,0,20251219,20260116
IDFM:100058,1,1,1,1,0,0,0,20260105,20260115
IDFM:100059,1,1,1,0,0,0,0,20251222,20251231
IDFM:100063,1,1,0,0,0,0,0,20251222,20251230
IDFM:100101,0,0,1,0,0,0,0,20251224,20251231
IDFM:100298,0,0,0,0,1,1,0,20251226,20260103
IDFM:100490,0,0,0,0,0,1,0,20251220,20260117
IDFM:100548,0,0,0,0,0,1,1,20251220,20260117
IDFM:101634,1,1,1,0,1,0,0,20251219,20260116
IDFM:102021,0,0,0,0,0,1,0,20251220,20260117
IDFM:102381,0,0,0,0,1,1,0,20251219,20260117
IDFM:102558,1,1,0,1,0,0,1,20251221,20260115
IDFM:102581,0,0,0,0,0,1,0,20251220,20260117
IDFM:102657,0,0,0,0,1,0,0,20251219,20260116
IDFM:102794,0,0,0,0,1,1,0,20251226,20251227
IDFM:103076,1,1,0,0,0,0,0,20251222,20260115
IDFM:103677,0,0,0,0,0,1,0,20251220,20260117
IDFM:103719,0,0,0,0,0,0,1,20251221,20251228
IDFM:103742,0,0,0,0,1,1,0,20251219,20260117
IDFM:104147,1,1,1,0,0,0,0,20251222,20251231
IDFM:104515,0,0,0,0,0,0,1,20260101,20260111
IDFM:104541,0,0,0,0,1,1,0,20260102,20260103
IDFM:104865,1,1,0,1,0,0,0,20260105,20260115
IDFM:104877,1,1,0,1,1,0,0,20251219,20260116
IDFM:105064,0,0,0,0,0,1,0,20251220,20260117
IDFM:105145,1,1,1,0,1,1,0,20251222,20260103
IDFM:105179,0,0,0,1,0,0,1,20251221,20260104
IDFM:105189,1,1,0,0,0,0,0,20251222,20260111
IDFM:105595,0,0,0,0,1,1,0,20251219,20260117
IDFM:106735,1,1,0,0,1,0,0,20251219,20260116
IDFM:107427,0,0,0,0,0,1,0,20251220,20260110
IDFM:107469,0,0,0,0,1,0,0,20251219,20260109
IDFM:107544,1,1,1,0,0,0,0,20251219,20260109
IDFM:107731,1,1,1,1,1,0,0,20260112,20260116
IDFM:107863,0,0,0,0,0,1,0,20260117,20260117
IDFM:110996,1,1,1,1,0,0,0,20260105,20260115
IDFM:111010,0,1,0,0,1,0,0,20251219,20260116
IDFM:111016,1,0,1,1,0,0,0,20260105,20260115
IDFM:111026,0,1,0,0,0,0,0,20260106,20260113
IDFM:111056,1,0,1,1,1,0,0,20251219,20260116
IDFM:112011,0,1,0,0,0,0,0,20251223,20251230
IDFM:112036,0,1,0,0,1,0,0,20251219,20260116
IDFM:112140,0,0,0,0,1,0,0,20251226,20260102
IDFM:112153,1,0,1,0,0,0,0,20251222,20251231
IDFM:112198,1,0,1,0,0,0,0,20251222,20260115
IDFM:112231,1,0,1,0,1,0,0,20251219,20260116
IDFM:112278,0,1,0,0,1,0,0,20251219,20260116
IDFM:112359,0,0,0,0,1,0,0,20251219,20260116
IDFM:112361,1,0,1,0,1,0,0,20251219,20260116
IDFM:112379,1,0,1,0,0,0,0,20251222,20260115
IDFM:112423,0,1,0,0,0,0,0,20251222,20260113
IDFM:112779,1,1,1,0,0,0,0,20251222,20260115
IDFM:112994,0,0,0,0,0,0,1,20251221,20260111
IDFM:114168,0,0,0,1,0,0,1,20251221,20260115
IDFM:114481,0,0,0,0,0,0,1,20251221,20260111
IDFM:114710,0,0,1,0,1,0,0,20251219,20260116
IDFM:115704,0,1,0,0,1,0,0,20251219,20260116
IDFM:116699,0,0,0,0,1,0,0,20260109,20260116
IDFM:116934,0,0,0,0,0,1,0,20251220,20251227
IDFM:117299,1,1,1,0,0,0,0,20251222,20260116
IDFM:117334,0,0,0,0,0,1,0,20260102,20260117
IDFM:117508,1,1,1,0,1,1,0,20251219,20260117
IDFM:117511,1,1,1,0,0,0,0,20251219,20251231
IDFM:118126,0,0,0,1,0,0,1,20251225,20260111
IDFM:118343,0,0,0,0,0,1,0,20251220,20260117
IDFM:118844,0,0,0,1,1,0,1,20251219,20260116
IDFM:118895,0,0,0,0,1,1,0,20251219,20260117
IDFM:119464,0,0,1,0,0,0,0,20251219,20251231
IDFM:120240,1,1,1,1,1,1,0,20260105,20260117
IDFM:120564,0,0,1,0,0,0,0,20251219,20251231
IDFM:124389,0,0,0,0,0,1,0,20260110,20260110
IDFM:124755,0,0,0,0,0,1,0,20251220,20260117
IDFM:125989,0,0,0,1,1,1,1,20251219,20260117
IDFM:127639,1,1,0,0,1,0,0,20251219,20260116
IDFM:127946,0,0,1,0,0,0,0,20251219,20260114
IDFM:128835,1,1,1,1,1,1,1,20251219,20260117
IDFM:128931,0,0,0,0,1,1,0,20251219,20260117
IDFM:129062,0,0,0,1,1,1,1,20251219,20260117
IDFM:129159,0,0,0,0,1,0,0,20251219,20260116
IDFM:129446,0,0,0,0,0,0,1,20251221,20260111
IDFM:129467,0,0,0,0,0,1,0,20251220,20260117
IDFM:129966,0,0,0,0,0,1,1,20251220,20251228
IDFM:130263,0,0,0,0,0,0,1,20251220,20260111
IDFM:130287,0,0,0,0,0,1,1,20260101,20260117
IDFM:131091,0,0,0,0,0,1,1,20251220,20260117
IDFM:131815,0,0,0,0,0,1,0,20251227,20251227
IDFM:132478,0,0,0,1,0,0,0,20251225,20260101
IDFM:132501,0,0,0,0,0,0,1,20251221,20260111
IDFM:132525,0,0,0,0,0,1,0,20251220,20260117
IDFM:132589,0,0,0,0,1,0,0,20251226,20260103
IDFM:132643,0,0,0,0,0,0,1,20251221,20260111
IDFM:134384,0,0,0,0,0,1,0,20251219,20260117
IDFM:136840,1,1,1,1,1,0,1,20251219,20260116
IDFM:141520,0,0,0,0,1,1,0,20251220,20260103
IDFM:143868,0,0,0,0,0,0,1,20251221,20260111
IDFM:144781,0,0,0,1,0,0,0,20260101,20260101
IDFM:145150,1,1,1,1,0,0,0,20251219,20260115
IDFM:145418,0,0,0,0,0,0,1,20251221,20260111
IDFM:145441,0,0,0,0,0,1,0,20251220,20260117
IDFM:145604,0,0,0,0,0,1,0,20251220,20260117
IDFM:146095,0,0,0,1,0,0,1,20251225,20251228
IDFM:146186,1,1,1,0,0,0,0,20251222,20251231
IDFM:146830,1,1,1,0,0,0,0,20251222,20251231
IDFM:146948,0,0,0,0,1,0,0,20260102,20260102
IDFM:154454,0,0,0,0,0,1,1,20251220,20260117
IDFM:154586,0,0,0,0,0,1,1,20251220,20260117
IDFM:154861,0,0,0,0,0,1,1,20251220,20260117
IDFM:155316,0,0,1,0,1,0,0,20251224,20260102
IDFM:156964,1,1,1,1,1,0,0,20260102,20260116
IDFM:159890,0,0,0,0,0,1,0,20251220,20260117
IDFM:160601,0,0,0,0,0,1,0,20251220,20260117
IDFM:161565,1,1,1,0,1,1,0,20251219,20260117
IDFM:162498,0,1,1,0,0,0,0,20251223,20251231
IDFM:162804,1,0,0,0,0,0,0,20251222,20251229
IDFM:163071,1,1,1,1,1,1,1,20251219,20260116
IDFM:163073,0,0,0,0,1,1,1,20251219,20260111
IDFM:163087,1,1,1,1,1,0,0,20260105,20260117
IDFM:163202,0,0,0,0,1,1,1,20251219,20260117
IDFM:165120,0,0,0,0,0,1,0,20251220,20260117
IDFM:165867,0,0,0,0,1,0,0,20251219,20260116
IDFM:167201,0,0,0,0,0,0,1,20251221,20260111
IDFM:169527,0,0,0,0,1,1,0,20251219,20260116
IDFM:172823,0,0,0,0,0,1,0,20251220,20260117
IDFM:172853,0,0,0,0,1,0,0,20251226,20251226
IDFM:173055,1,1,0,0,1,1,0,20251219,20260117
IDFM:173092,0,0,1,0,1,1,0,20251219,20260117
IDFM:173187,1,1,1,0,1,0,0,20251219,20260116
IDFM:173695,0,0,0,0,0,1,1,20251220,20260117
IDFM:173770,0,0,1,0,1,1,0,20251219,20260117
IDFM:173771,0,0,1,0,1,1,1,20251219,20260117
IDFM:173872,1,1,1,1,1,0,1,20251219,20260116
IDFM:173873,0,0,0,0,0,0,1,20251221,20260111
IDFM:173911,0,0,0,0,0,1,1,20251220,20260117
IDFM:173915,0,0,0,1,1,1,1,20251219,20260117
IDFM:174223,1,1,0,0,1,0,0,20251219,20260116
IDFM:174393,0,0,1,0,0,0,0,20251224,20260114
IDFM:174451,1,1,1,1,1,1,0,20251219,20260117
IDFM:174542,1,1,1,0,1,0,0,20251219,20260116
IDFM:174572,0,0,0,0,0,1,0,20251220,20260117
IDFM:174805,1,1,1,0,0,1,0,20251219,20251231
IDFM:174817,0,0,0,0,1,1,0,20251226,20260117
IDFM:174961,1,1,0,0,1,0,0,20251229,20260102
IDFM:174968,1,1,1,0,1,0,0,20251222,20251226
IDFM:174983,0,0,0,0,0,1,0,20251220,20260117
IDFM:174984,1,1,0,0,1,0,0,20251222,20260102
IDFM:175023,0,0,0,0,0,0,1,20251221,20260111
IDFM:175034,0,0,0,0,0,1,0,20251220,20260117
IDFM:175041,0,0,0,0,0,1,1,20251220,20260117
IDFM:175067,0,0,0,0,0,0,1,20251221,20260111
IDFM:175107,0,0,0,0,0,1,1,20251220,20260117
IDFM:175205,0,0,0,0,0,0,1,20251221,20260111
IDFM:175374,0,0,0,0,1,0,0,20251219,20260116
IDFM:175441,0,0,0,0,1,1,1,20251219,20260117
IDFM:175620,0,0,0,0,0,1,0,20251220,20260117
IDFM:175706,0,0,0,0,1,0,0,20251219,20260116
IDFM:175947,0,0,0,0,1,1,0,20251219,20260117
IDFM:176120,0,0,0,0,1,1,0,20251219,20260117
IDFM:176121,0,0,0,0,0,1,0,20251220,20260117
IDFM:176139,0,0,0,0,1,1,0,20251219,20260117
IDFM:176174,0,0,0,0,1,0,0,20251224,20260102
IDFM:176198,0,0,0,0,1,0,1,20251219,20260116
IDFM:176394,1,1,1,1,0,0,0,20251222,20260115
IDFM:176406,1,1,1,0,0,0,0,20251222,20260115
IDFM:176704,1,1,1,1,0,0,0,20251229,20260115
IDFM:177697,0,0,0,0,0,1,1,20251220,20260117
IDFM:177814,0,1,1,0,0,0,0,20251222,20260115
IDFM:178378,1,0,0,0,0,0,0,20251222,20260112
IDFM:178539,0,0,1,0,0,0,0,20251231,20251231
IDFM:178593,0,0,0,0,0,1,1,20251220,20260117
IDFM:178596,0,0,0,0,0,1,0,20251220,20260117
IDFM:178601,0,0,0,0,0,0,1,20251221,20260111
IDFM:178604,0,0,0,0,0,1,0,20251220,20260117
IDFM:178672,0,0,1,0,0,0,0,20251222,20251231
IDFM:178684,0,0,0,0,1,1,0,20251219,20260117
IDFM:178709,0,0,0,0,0,1,1,20251220,20260117
IDFM:178714,1,1,1,0,1,0,0,20251229,20260102
IDFM:178726,0,0,0,0,0,1,0,20251220,20260117
IDFM:178764,0,0,1,1,1,1,1,20251219,20260117
IDFM:178769,0,0,0,0,1,1,0,20251219,20260117
IDFM:178780,0,0,1,1,0,1,1,20251220,20260117
IDFM:178828,0,0,0,0,1,0,1,20251219,20260116
IDFM:178855,0,0,0,0,0,0,1,20251221,20260111
IDFM:178900,0,0,1,1,0,0,1,20251221,20260115
IDFM:179158,0,0,0,0,1,0,0,20251219,20260116
IDFM:179528,0,0,0,1,0,1,1,20251220,20260117
IDFM:179532,1,1,0,1,0,1,1,20251220,20260117
IDFM:179595,0,0,0,0,0,1,0,20251220,20260117
IDFM:179765,0,0,1,0,0,1,0,20251220,20260117
IDFM:179770,0,0,1,1,1,0,1,20251219,20260116
IDFM:179784,0,0,1,0,0,0,0,20251224,20251224
IDFM:179795,1,1,0,0,0,0,0,20251222,20251230
IDFM:179804,0,0,0,0,1,0,0,20251219,20260116
IDFM:179864,0,0,0,0,0,1,1,20251220,20260117
IDFM:179921,0,0,0,0,0,1,0,20251220,20260117
IDFM:179924,0,0,0,0,1,0,0,20251219,20260116
IDFM:179935,0,0,0,0,1,0,0,20251219,20260116
IDFM:179940,0,0,0,0,0,0,1,20251221,20260111
IDFM:180111,0,0,0,0,0,1,0,20251220,20260117
IDFM:180225,0,0,0,0,1,0,1,20251219,20260116
IDFM:180332,0,0,0,0,1,0,0,20251219,20260116
IDFM:180515,0,0,0,0,0,1,0,20251220,20260117
IDFM:180516,0,0,0,0,0,0,1,20251221,20260111
IDFM:180588,0,0,0,0,1,0,0,20251219,20260116
IDFM:180918,1,1,0,0,1,0,0,20251222,20260102
IDFM:181078,0,0,0,0,1,1,0,20251219,20260117
IDFM:181298,0,0,0,0,0,0,1,20251221,20260111
IDFM:181478,0,0,0,0,1,0,0,20251226,20260102
IDFM:182006,0,0,0,0,0,1,0,20251220,20260117
IDFM:182175,1,1,0,0,0,0,0,20251222,20260101
IDFM:182452,0,0,0,0,1,0,0,20251226,20260102
IDFM:182507,0,0,0,0,1,0,0,20251219,20260116
IDFM:182904,1,1,1,0,1,0,0,20251219,20260116
IDFM:182907,1,1,1,1,1,1,1,20251219,20260117
IDFM:182914,1,1,1,0,1,1,0,20251219,20260117
IDFM:182957,0,0,1,0,0,0,0,20251226,20260115
IDFM:183088,1,1,1,1,0,0,0,20251224,20260115
IDFM:183093,0,0,1,0,1,0,0,20251219,20260116
IDFM:183150,1,1,1,0,0,0,0,20251222,20260115
IDFM:183216,1,1,0,0,1,1,0,20251219,20260117
IDFM:183247,1,1,0,0,0,1,0,20251220,20260117
IDFM:183583,1,1,1,1,1,0,1,20251219,20260116
IDFM:183586,1,1,0,1,0,1,1,20251220,20260117
IDFM:183628,1,1,0,1,0,0,0,20251222,20260115
IDFM:183632,1,1,0,1,1,0,0,20251219,20260116
IDFM:183644,1,1,1,1,0,0,0,20260101,20260115
IDFM:183645,1,1,1,1,1,0,0,20251219,20260116
IDFM:183652,1,1,1,1,1,1,0,20251219,20260117
IDFM:183653,1,1,1,1,1,0,1,20251219,20260116
IDFM:183655,1,1,1,1,1,1,1,20251219,20260117
IDFM:183670,0,0,1,0,1,0,0,20251224,20251226
IDFM:183683,0,0,0,0,1,0,0,20251219,20260116
IDFM:183703,0,0,0,0,0,0,1,20251221,20260111
IDFM:183712,0,0,0,0,0,0,1,20251221,20260111
IDFM:183751,0,0,0,0,0,0,1,20251221,20260111
IDFM:183760,0,0,0,0,0,0,1,20251221,20260111
IDFM:183817,0,0,0,0,0,1,0,20251220,20260117
IDFM:183852,0,0,0,0,0,0,1,20251221,20260111
IDFM:183934,0,0,0,0,1,1,0,20251219,20260117
IDFM:183969,0,0,0,0,0,1,0,20251220,20260117
IDFM:183979,0,0,0,0,0,1,1,20251220,20260117
IDFM:184083,0,0,0,0,1,0,0,20251219,20260116
IDFM:184150,0,0,0,0,1,0,1,20251219,20260116
IDFM:184796,1,1,1,0,0,0,0,20251229,20251231
IDFM:184806,0,0,1,0,0,0,0,20251224,20251231
IDFM:184830,1,1,0,0,0,0,0,20251229,20251230
IDFM:184834,0,0,0,0,1,0,0,20251219,20260116
IDFM:184845,0,0,0,0,1,0,0,20251219,20260116
IDFM:184874,0,0,0,0,1,0,0,20251219,20260116
IDFM:184890,0,0,0,0,0,1,0,20251220,20260117
IDFM:184911,0,0,1,0,0,0,0,20251224,20251231
IDFM:185020,0,0,0,0,1,0,0,20251219,20260116
IDFM:185051,0,0,0,0,0,1,0,20251220,20260117
IDFM:185290,1,1,0,0,0,0,0,20251222,20251231
IDFM:185443,0,0,0,0,0,1,0,20251220,20260117
IDFM:185444,1,1,0,0,0,0,0,20251222,20251223
IDFM:185458,0,0,0,0,1,0,0,20251222,20260102
IDFM:185469,0,0,0,0,1,0,0,20251219,20260116
IDFM:185742,0,0,0,0,1,0,0,20251219,20260116
IDFM:185864,0,0,1,0,1,0,0,20251231,20260102
IDFM:186085,0,0,0,0,1,0,0,20251219,20260116
IDFM:186183,0,0,0,0,1,1,0,20251219,20260117
IDFM:186338,1,1,1,1,0,0,0,20251224,20260115
IDFM:186345,0,0,1,0,0,0,0,20251224,20260115
IDFM:186352,1,1,1,0,1,0,0,20251219,20260116
IDFM:186362,1,1,1,0,0,0,0,20251224,20260115
IDFM:186367,1,1,1,1,0,0,0,20251222,20260115
IDFM:186390,1,1,1,0,0,0,0,20251224,20260115
IDFM:186418,1,1,1,1,0,0,0,20260102,20260115
IDFM:186428,1,1,1,0,1,0,0,20251219,20260116
IDFM:186448,1,1,1,0,1,0,0,20251219,20260116
IDFM:186453,1,1,1,0,0,0,0,20251222,20260115
IDFM:186494,1,1,1,0,1,0,0,20251219,20260116
IDFM:186531,1,1,1,0,1,0,0,20251219,20260116
IDFM:186622,1,1,0,0,0,0,0,20251222,20260115
IDFM:186628,1,1,1,0,0,0,0,20251222,20260115
IDFM:186644,1,1,1,0,0,0,0,20251222,20260115
IDFM:186658,0,0,1,0,1,0,0,20251219,20260116
IDFM:186659,1,1,1,0,1,0,0,20251219,20260116
IDFM:186670,1,1,1,0,0,0,0,20251222,20260115
IDFM:186680,1,1,1,1,0,0,0,20251229,20260115
IDFM:186766,0,0,1,0,1,1,0,20251219,20260117
IDFM:186777,1,1,1,0,1,1,0,20251219,20260117
IDFM:186781,1,1,1,0,0,0,0,20251222,20260115
IDFM:186792,1,1,1,1,0,0,0,20251229,20260115
IDFM:186861,1,1,0,0,1,0,0,20251219,20260116
IDFM:186937,0,0,1,0,0,1,0,20251220,20260117
IDFM:186964,1,1,1,1,0,0,0,20251231,20260115
IDFM:187052,1,1,0,0,1,0,0,20251219,20260116
IDFM:187193,1,1,0,0,0,0,0,20251222,20260102
IDFM:187219,1,1,0,0,0,0,0,20251222,20260102
IDFM:187224,0,0,0,0,0,1,0,20251220,20260117
IDFM:187458,0,0,0,0,0,0,1,20251221,20260111
IDFM:187508,0,0,0,0,0,0,1,20251221,20260111
IDFM:187529,0,0,0,1,0,0,0,20251225,20251225
IDFM:187565,0,0,0,0,0,0,1,20251221,20260111
IDFM:187566,0,0,0,0,0,1,0,20251220,20260117
IDFM:187649,0,0,0,0,1,0,0,20251219,20260116
IDFM:187670,0,0,0,0,0,1,1,20251220,20260117
IDFM:187836,0,0,0,0,0,0,1,20251221,20260111
IDFM:187878,0,0,0,0,1,0,0,20251219,20260116
IDFM:187994,0,0,0,0,0,1,1,20251220,20260117
IDFM:188082,0,0,0,0,0,0,1,20251221,20260111
IDFM:188508,0,0,0,0,0,0,1,20251221,20260111
IDFM:188594,0,0,0,0,0,0,1,20251221,20260111
IDFM:189234,0,0,0,0,0,0,1,20251221,20260111
IDFM:189364,0,0,0,0,0,0,1,20251221,20260111
IDFM:190131,0,0,1,0,1,0,0,20251224,20260102
IDFM:190133,0,0,0,0,1,0,0,20251224,20260102
IDFM:191186,0,0,0,0,1,0,0,20251219,20260116
IDFM:191429,0,0,0,0,0,1,0,20251220,20260117
IDFM:191497,0,0,1,0,0,0,0,20251222,20260101
IDFM:191529,1,1,0,1,0,0,0,20251229,20260101
IDFM:191540,1,1,0,1,1,0,0,20251229,20260102
IDFM:191924,1,1,1,0,1,0,0,20251219,20260116
IDFM:191935,1,1,0,0,1,0,0,20251219,20260116
IDFM:191939,1,1,1,0,1,0,0,20251219,20260116
IDFM:191959,0,0,1,0,1,0,0,20251219,20260116
IDFM:191971,1,1,1,0,1,0,0,20251219,20260116
IDFM:191997,1,1,1,0,1,1,0,20251219,20260117
IDFM:192018,0,0,1,0,1,0,0,20251219,20260116
IDFM:192035,0,0,1,0,1,0,1,20251219,20260116
IDFM:192118,0,0,1,0,1,1,0,20251219,20260117
IDFM:192125,1,1,0,1,0,0,1,20251221,20260115
IDFM:192241,1,1,0,1,0,0,1,20251221,20260115
IDFM:192303,1,1,1,0,1,1,1,20251219,20260117
IDFM:192352,1,1,0,1,0,0,1,20251221,20260115
IDFM:192370,1,1,1,0,1,0,1,20251219,20260116
IDFM:192410,1,1,0,1,1,0,1,20251219,20260116
IDFM:192510,0,0,1,1,0,0,1,20251221,20260115
IDFM:192581,1,1,0,0,1,1,0,20251219,20260117
IDFM:192765,1,1,0,1,1,0,0,20251219,20260116
IDFM:192767,1,1,1,1,1,1,0,20251219,20260117
IDFM:192771,0,0,1,1,1,1,0,20251219,20260117
IDFM:192772,0,0,1,1,1,0,0,20251219,20260116
IDFM:192829,0,0,0,0,0,0,1,20251221,20260111
IDFM:192874,0,0,0,0,0,0,1,20251221,20260111
IDFM:192894,0,0,0,0,1,0,1,20251219,20260116
IDFM:192903,0,0,0,0,0,0,1,20251221,20260111
IDFM:193860,1,1,1,0,0,0,0,20251222,20251224
IDFM:193953,0,0,0,0,1,0,0,20251219,20260116
IDFM:194068,0,0,0,0,0,1,0,20251220,20260117
IDFM:194154,0,0,0,0,1,0,0,20251222,20260102
IDFM:194200,0,0,0,0,1,0,0,20251219,20260116
IDFM:194881,0,0,0,0,1,0,0,20251226,20260102
IDFM:194916,1,1,1,0,1,0,0,20251222,20260102
IDFM:195006,0,0,0,0,1,0,0,20251226,20260102
IDFM:195101,0,0,0,0,1,0,0,20251219,20260116
IDFM:195430,0,0,1,0,1,0,0,20251222,20260102
IDFM:195618,0,0,0,0,1,0,0,20251226,20260102
IDFM:195774,0,0,0,0,1,0,0,20251219,20260116
IDFM:195802,0,0,0,0,1,0,0,20251219,20260116
IDFM:195909,0,0,0,0,0,1,0,20251220,20260117
