service_id,date,exception_type
IDFM:1,20251225,1
IDFM:4433,20251222,2
IDFM:4433,20260104,2
IDFM:8246,20260104,2
IDFM:8586,20251226,2
IDFM:8586,20260104,2
IDFM:8586,20260102,2
IDFM:10412,20260108,1
IDFM:10412,20260115,1
IDFM:13454,20251227,2
IDFM:13454,20251226,2
IDFM:13454,20251225,2
IDFM:13454,20251224,2
IDFM:13454,20251223,2
IDFM:13454,20251222,2
IDFM:13454,20260103,2
IDFM:13454,20260102,2
IDFM:13454,20260101,2
IDFM:13454,20251231,2
IDFM:13454,20251230,2
IDFM:13454,20251229,2
IDFM:13456,20251227,2
IDFM:13456,20251224,2
IDFM:13456,20260103,2
IDFM:13456,20251231,2
IDFM:18037,20260111,1
IDFM:18039,20260111,1
IDFM:18039,20260112,1
IDFM:18078,20260111,1
IDFM:20183,20260108,1
IDFM:20183,20260115,1
IDFM:20186,20260108,1
IDFM:20186,20260115,1
IDFM:24447,20260108,1
IDFM:24447,20260115,1
IDFM:27476,20260110,1
IDFM:27476,20260108,2
IDFM:28531,20260109,2
IDFM:28858,20251226,1
IDFM:28858,20260102,1
IDFM:28858,20260110,2
IDFM:38740,20251224,1
IDFM:38740,20251226,2
IDFM:38740,20251231,1
IDFM:38740,20260102,2
IDFM:38740,20260115,1
IDFM:38741,20251226,2
IDFM:38741,20260102,2
IDFM:38741,20260108,1
IDFM:38741,20260115,1
IDFM:38746,20251221,1
IDFM:38746,20251228,1
IDFM:38746,20251226,1
IDFM:38746,20251225,1
IDFM:38746,20260102,1
IDFM:38746,20260101,1
IDFM:39481,20260108,1
IDFM:46785,20251228,2
IDFM:46785,20260101,1
IDFM:46833,20251225,1
IDFM:46833,20260104,2
IDFM:49924,20251222,1
IDFM:49924,20251226,2
IDFM:49924,20251229,1
IDFM:49924,20260102,2
IDFM:49924,20260108,1
IDFM:49924,20260115,1
IDFM:55997,20251226,1
IDFM:55997,20260102,1
IDFM:72130,20251226,1
IDFM:72130,20251224,1
IDFM:72130,20251227,2
IDFM:72130,20260102,1
IDFM:72130,20251231,1
IDFM:72130,20260103,2
IDFM:72547,20260108,1
IDFM:72547,20260106,1
IDFM:72547,20260105,1
IDFM:72547,20260115,1
IDFM:72547,20260113,1
IDFM:72547,20260112,1
IDFM:73588,20251227,1
IDFM:73588,20251226,2
IDFM:73588,20260103,1
IDFM:73588,20260102,2
IDFM:80856,20251219,1
IDFM:98389,20251219,1
IDFM:100000,20251226,2
IDFM:100000,20251225,2
IDFM:100000,20251224,2
IDFM:100000,20251223,2
IDFM:100000,20251222,2
IDFM:100000,20260102,2
IDFM:100000,20260101,2
IDFM:100000,20251231,2
IDFM:100000,20251230,2
IDFM:100000,20251229,2
IDFM:100001,20251227,2
IDFM:100001,20260103,2
IDFM:100002,20251226,2
IDFM:100002,20251225,2
IDFM:100002,20251224,2
IDFM:100002,20251223,2
IDFM:100002,20260102,2
IDFM:100002,20260101,2
IDFM:100002,20251231,2
IDFM:100002,20251230,2
IDFM:100007,20251225,1
IDFM:100007,20260101,1
IDFM:100012,20251226,2
IDFM:100012,20251222,2
IDFM:100012,20260102,2
IDFM:100012,20251229,2
IDFM:100039,20251226,2
IDFM:100039,20260102,2
IDFM:100490,20251226,1
IDFM:100490,20260102,1
IDFM:100548,20251226,1
IDFM:100548,20251225,1
IDFM:100548,20260102,1
IDFM:100548,20260101,1
IDFM:101634,20251226,2
IDFM:101634,20260102,2
IDFM:101634,20260108,1
IDFM:101634,20260115,1
IDFM:102021,20251226,1
IDFM:102021,20251224,1
IDFM:102021,20260102,1
IDFM:102021,20251231,1
IDFM:102558,20260107,1
IDFM:102558,20260114,1
IDFM:102581,20251227,2
IDFM:102581,20260102,1
IDFM:102657,20251224,1
IDFM:102657,20251226,2
IDFM:102657,20251231,1
IDFM:102657,20260102,2
IDFM:103076,20260108,1
IDFM:103076,20260107,1
IDFM:103076,20260115,1
IDFM:103076,20260114,1
IDFM:103677,20251226,1
IDFM:103677,20251224,1
IDFM:103677,20251223,1
IDFM:103677,20251222,1
IDFM:103677,20260102,1
IDFM:103677,20251231,1
IDFM:103677,20251230,1
IDFM:103677,20251229,1
IDFM:103719,20251225,1
IDFM:103742,20251224,1
IDFM:103742,20251231,1
IDFM:104147,20251227,1
IDFM:104147,20251226,1
IDFM:104515,20260101,1
IDFM:104877,20251226,2
IDFM:104877,20251225,2
IDFM:104877,20251223,2
IDFM:104877,20251222,2
IDFM:104877,20260102,2
IDFM:104877,20260101,2
IDFM:104877,20251230,2
IDFM:104877,20251229,2
IDFM:105064,20251226,1
