stop_name,lat,lon
ABBESSES,48.8848041,2.3386421
ABLON,,
ACHERES GRAND,,
ACHERES VILLE,,
AEROPORT CDG1,,
AEROPORT CDG2,,
AIME CESAIRE,48.8462375,2.3456876
ALESIA,48.8280318,2.3270406
ALEXANDR.DUMAS,,
ALFORT-ECOLE V,,
ALMA-MARCEAU,48.8648683,2.300292
AMEDEE CORDINI T12,,
ANATOLE FRANCE,48.860947,2.324752
ANDRESY,,
ANGERVILLE,,
ANTONY,48.851717,2.267581
ANVERS,48.8828803,2.3442565
ARCUEIL-CACHAN,,
ARDOINES,,
ARGENTEUIL,48.8648718,2.333921
ARGENTINE,48.8753357,2.2901322
ARPAJON,,
ARTS.METIERS,48.866783,2.3554167
ASNIERES SUR S,,
ASSEMBLEE NAT.,48.8617819,2.3179827
ATHIS MONS,,
AUBER,48.8722245,2.3297877
AUBERGENVILLE,,
AUBERV.4 CHEM.,,
AULNAY SS BOIS,,
AUSTERLITZ,48.8412453,2.3663585
AUVERS SUR OISE,,
AV.EMILE ZOLA,48.8469751,2.2953222
AVENUE DU PRESIDENT KENNEDY,48.8532278,2.2801681
AVENUE FOCH,48.8732992,2.2901868
AVENUE HENRI MARTIN,48.8645533,2.2721528
AVRON,48.851501,2.3982195
Allée Royale T13,48.8327731,2.4334159
Aéroport d'Orly,48.7486524,2.3540556
BAGNEAUX SUR L,,
BAGNEUX,48.8197567,2.3237187
BALARD,48.8363968,2.278379
BALLANCOURT,,
BARBARA,48.884294,2.3538553
BARBES-ROCH.,,
BARRE ORMESSON,,
BASTILLE,48.852987,2.3688579
BECON,,
BEL AIR,48.8413382,2.4009129
BELLEVILLE,48.8717265,2.385085
BELLEVUE,48.8793331,2.3933218
BELLOY ST MA,,
BERAULT,48.845439,2.429261
BERCY,48.8391964,2.382849
BESSANCOURT,49.0362314,2.2127339
BEYNES,48.8531736,2.3782249
BIBLIOTHEQUE,48.8299133,2.3767315
BIBLIOTHEQUE FRANCOIS MITTERRAND,48.8299133,2.3767315
BIEVRES,48.7143351,2.1720438
BILLANCOURT,48.8425694,2.2512129
BIR-HAKEIM,48.8538898,2.2893811
BLANC MESNIL,,
BLANCHE,48.8835274,2.3335853
BOB.P.PICASSO,,
BOB.R.QUENEAU,,
BOIGNEVILLE,,
BOIS BRIARD T12,,
BOIS COLOMBES,,
BOIS LE ROI,,
BOIS ST EUTROPE T12,,
BOISSIERE,48.8670421,2.2900911
BOISSISE LE ROI,,
BOISSY L AILLER,,
BOISSY-ST-LEG.,,
BOLIVAR,48.8809263,2.3739077
BONDY GARE,,
BONNE NOUVELLE,48.8705324,2.3487457
BONNIERES,,
BOTZARIS,48.879514,2.3885871
BOUCICAUT,48.8410837,2.2879218
BOUFFEMONT,,
BOUGIVAL,,
BOULAINVILLIERS,48.8565519,2.2751477
BOULETS-MONTR.,,
BOULEVARD VICTOR,48.8393018,2.2706619
BOULLEREAUX,,
BOULOGNE-J.J.,,
BOULOGNE-ST.CL,,
BOURAY,,
BOURG-LA-REINE,,
BOURGET,48.8178824,2.3577334
BOURGET T11,48.8178824,2.3577334
BOURRON MARLOTT,,
BOURSE,48.8686539,2.3414383
BOUSSY ST ANTOI,,
BOUTIGNY,,
BRAS DE FER,,
BREGUET-SABIN,48.8566358,2.3704159
BRETIGNY,48.6126858,2.2776846
BREUILLET BRUYE,,
BREUILLET VILLA,,
BREVAL,,
BROCHANT,48.8905757,2.3202004
BRUNOY,,
BRUYERES SUR O,,
BRY-SUR-MARNE,48.8043316,2.5299723
BUNO GIRONVILLE,,
BURES-S-YVETTE,,
BUSSY-ST-GEOR.,,
BUTTES-CHAUM.,,
BUZENVAL,48.8518248,2.4013274
Bailly T13,48.8650892,2.3562098
Bel Air - Fourqueux T13,,
CADET,48.8760078,2.3444767
CAMBRONNE,48.8475232,2.3029457
CAMPO-FORMIO,48.8351097,2.3582211
CARD.LEMOINE,,
CARREF.PLEYEL,,
CELLE ST CLOUD,,
CENSIER DAUB.,,
CERGY LE HAUT,,
CERGY PREFECTUR,,
CERGY ST CHRIST,,
CERNAY,,
CESSON,48.1125837,-1.6025488
CH.D.G.ETOILE,,
CH.D.VINCENNES,48.8410131,2.4329512
CHAMARANDE,,
CHAMP DE COURSE,,
CHAMP DE MARS-TOUR EIFFEL,48.8567083,2.2897559
CHAMPAGNE OISE,49.2506485,2.477554
CHAMPAGNE SEINE,48.7391003,2.7441449
CHAMPBENOIST,,
CHAMPIGNY,48.8035406,2.5338588
CHAMPLAN T12,,
CHAMPS-ELYSEES,48.8707573,2.3053312
CHANGIS ST JEAN,,
CHANTELOUP,48.0611044,-0.7611
CHAPONVAL,,
CHARDON-LAGACH,,
CHARENTON-ECO.,,
CHARL.MICHELS,,
CHARONNE,48.8547411,2.3853043
CHARS,,
CHARTRETTES,,
CHATEAU D'EAU,48.87288,2.3563957
CHATEAU ROUGE,48.8872884,2.3495532
CHATEAU-LANDON,48.8789087,2.3624266
CHATELET,48.8592208,2.3460759
CHATILLON-MON.,,
CHATOU-CROISSY,,
CHAUSS.D'ANTIN,,
CHAVILLE RD,,
CHAVILLE RG,,
CHAVILLE VELIZY,,
CHELLES GOURNAY,,
CHEMIN D ANTONY,48.7765119,2.2428608
CHEMIN-VERT,48.8574434,2.3681408
CHENAY GAGNY,,
CHEVALERET,48.83495,2.3681023
CHEVILLY-LARUE,,
CHILLY MAZ T12,,
CHOISY LE ROI,,
CITE,48.8553219,2.3475596
CITE UNIV.,48.8514684,2.341089
CLAIRIERES,48.8300291,2.4191988
CLAMART,,
CLICHY LEVALLOI,,
CLICHY ST-OUEN,,
COIGNIERES,,
COLOMBES,48.8546805,2.3504603
COLONEL FABIEN,48.8774137,2.3710017
COMBS LA VILLE,,
COMMERCE,48.8447112,2.2938643
COMPANS,48.8780088,2.3924605
CONCORDE,48.8661988,2.3244166
CONFLANS FO,,
CONFLANS STE HO,,
CONVENTION,48.8372872,2.2966539
CORBEIL ESSONNE,48.6148269,2.4781453
CORENT.CARIOU,,
CORENT.CELTON,,
CORMEILLES,48.9556937,2.2027993
CORVISART,48.8298024,2.3504805
COT. BEAUCLAIR,,
COTEAUX ORGE T12,,
COUDRAY MONTCEA,,
COUILLY ST G T14,,
COUILLY ST GERM,,
COULOMMIERS,,
COUR ST-EMILI.,,
COURBEVOIE,,
COURCELLE-S-YV,,
COURCELLES,48.8794066,2.3043565
COURNEUVE,48.8459219,2.3559986
COURONNES,48.8690533,2.3804541
CRECY LA C T14,,
CRECY LA CHAPEL,,
CRETEIL POMPADOUR,,
CRETEIL-ECHAT,48.7936507,2.460384
CRETEIL-P. LAC,,
CRETEIL-PREF.,,
CRETEIL-UNIV.,,
CRIMEE,48.8908513,2.3773681
CROUY SUR OURCQ,,
CRX.DE CHAVAUX,,
Camp des loges T13,,
DAMMARTIN,49.0337334,2.6395092
DANUBE,48.8819488,2.393338
DAUMESNIL,48.8395922,2.3962319
DEFENSE,48.8643207,2.3049352
DEFENSE RER E,,
DENFERT-ROCH.,,
DEUIL MONTMAGNY,,
DOMONT,,
DOURDAN,48.5701227,2.0341602
DOURDAN LA FORE,,
DRANCY,48.9199861,2.4252965
DUGNY COURNEUVE,,
DUGOMMIER,48.8390379,2.3897217
DUPLEIX,48.8504095,2.2936611
DUROC,48.8468433,2.3166286
EC.MILITAIRE,,
ECOUEN,,
EDGAR QUINET,48.84111,2.3250699
EGLI.D'AUTEUIL,,
EGLI.DE PANTIN,,
EGLY,,
EMERAINVILLE,48.8214366,2.6252952
ENGHIEN,48.8718538,2.3518383
EPINAY SO T12,,
EPINAY SUR ORGE,,
EPINAY SUR SEIN,,
EPINAY SUR ST11,48.9530958,2.3126446
EPINAY VIL T11,,
EPINAY VILLETAN,,
EPLUCHES,,
EPONE MEZIERES,,
ERAGNY NEUVILLE,,
ERMONT EAUBONNE,,
ERMONT HALTE,,
ESBLY,48.8747092,2.3568262
ESPLANADE DEF.,,
ESSARTS LE ROI,,
ESSONNES ROBINS,,
ETAMPES,48.4377063,2.1638789
ETANG LA VILLE,,
ETIENNE MARCEL,48.8640258,2.3498519
ETRECHY,48.4864411,2.1944953
EUROPE,48.8787706,2.3222823
EVRY,48.6397451,2.4690378
EVRY COUR T12,,
EVRY COURCOURON,,
EXELMANS,48.8430044,2.2600472
F.D.ROOSEVELT,,
FAIDHERBE-CHA.,,
FALGUIERE,48.8444916,2.317965
FAREMOUTIERS,,
FELIX FAURE,48.8426775,2.2917792
FERME NEUVE T12,,
FERTE ALAIS,,
FERTE SS JOUARR,,
FILLES DU CALV,,
FONTAINE LE POR,,
FONTAINE-MICH.,,
FONTAINEBLEAU,48.8856838,2.3914026
FONTENAY FLEURY,,
FONTENAY-AUX-R,,
FONTENAY-S-B.,48.8406943,2.4617049
FORT D'AUBERV.,,
FR. POPULAIRE,,
FRANCONVILLE,48.9806126,2.2346123
FREPILLON,,
FRETTE MONTIGNY,,
FUNICULAIRE,48.8857954,2.3425196
GABRIEL PERI,48.8753997,2.3239942
GAGNY GARE,,
GAITE,48.838644,2.3225369
GALLIENI,48.8465159,2.4166693
GAMBETTA,48.8649327,2.3980541
GARANCIERES,,
GARCHES MARNES,,
GARE D'AUSTER.,,
GARE DE L'EST,48.8770979,2.3594905
GARE DE LYON,48.8443818,2.3748001
