service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
IDFM:1,1,1,1,1,1,1,1,20250919,20251018
IDFM:1405,0,1,0,1,0,0,0,20250923,20251016
IDFM:2418,1,0,0,0,0,0,1,20250921,20251013
IDFM:10000,1,1,1,1,1,0,0,20250919,20251017
IDFM:10138,1,1,0,1,1,0,0,20250919,20251017
IDFM:10140,0,0,1,0,0,0,0,20250924,20251015
IDFM:10971,0,0,1,0,1,0,0,20250919,20251017
IDFM:10977,1,1,0,1,0,0,0,20250922,20251016
IDFM:11475,0,1,1,1,1,1,0,20250919,20251018
IDFM:11516,1,0,0,0,0,0,0,20250922,20251013
IDFM:14189,0,0,1,0,0,1,0,20250920,20251018
IDFM:15662,0,0,0,0,0,0,1,20250921,20251018
IDFM:20378,0,0,0,0,0,0,1,20250928,20250928
IDFM:20388,0,0,0,0,0,0,1,20250921,20251012
IDFM:27035,1,1,1,1,1,0,0,20250919,20251003
IDFM:27053,1,1,1,1,1,0,0,20251006,20251017
IDFM:27575,1,1,1,1,1,0,1,20250919,20251005
IDFM:35962,0,1,1,1,1,0,0,20250919,20251003
IDFM:35965,0,1,1,1,1,0,0,20251007,20251017
IDFM:50068,0,0,0,0,1,0,0,20250919,20251017
IDFM:50126,1,1,0,0,0,0,0,20250922,20250930
IDFM:50173,1,1,0,1,0,0,0,20250919,20251016
IDFM:50185,1,1,0,0,1,1,0,20250919,20250930
IDFM:50200,0,0,1,1,1,0,0,20250919,20251017
IDFM:59337,0,0,0,1,0,0,0,20250925,20250925
IDFM:59356,1,1,0,0,1,0,0,20250919,20250930
IDFM:59387,1,1,0,1,1,0,0,20251002,20251017
IDFM:59450,0,0,0,1,0,0,0,20251002,20251016
IDFM:59456,1,1,1,0,1,0,0,20251001,20251017
IDFM:59457,1,1,0,0,1,0,0,20250919,20250930
IDFM:74155,0,0,0,0,0,1,0,20250920,20251018
IDFM:94559,1,1,1,1,1,0,0,20250919,20251016
IDFM:98098,0,0,0,0,0,1,0,20250920,20251018
IDFM:100001,0,0,0,0,0,1,0,20250920,20251018
IDFM:100002,0,0,0,0,0,0,1,20250921,20251012
IDFM:100251,0,0,0,0,0,1,1,20250920,20251018
IDFM:100479,1,1,1,1,1,1,0,20250919,20251018
IDFM:101645,1,1,1,1,1,0,1,20250919,20251017
IDFM:105199,0,0,0,0,1,0,0,20250919,20251017
IDFM:105464,1,1,1,1,0,0,0,20250922,20251016
IDFM:108866,0,0,0,0,0,0,1,20250921,20250921
IDFM:108867,0,0,0,0,0,1,0,20250920,20250920
IDFM:109058,0,0,0,0,0,1,0,20250927,20251018
IDFM:109065,0,0,0,0,0,0,1,20250928,20251012
IDFM:109086,1,1,1,1,1,0,1,20250919,20251017
IDFM:113737,0,0,0,0,1,0,0,20250919,20251017
IDFM:113742,1,0,0,1,0,0,0,20250922,20251016
IDFM:113744,0,0,0,0,1,0,0,20250919,20251017
IDFM:113959,0,1,1,0,0,0,0,20250923,20251015
IDFM:119640,0,0,0,0,0,1,0,20250920,20251011
IDFM:120102,0,0,0,0,0,1,0,20251018,20251018
IDFM:124193,0,0,0,0,1,0,0,20251003,20251017
IDFM:124199,1,1,0,0,0,0,0,20250922,20250930
IDFM:124200,0,0,0,0,1,0,0,20250919,20250926
IDFM:124218,1,1,1,1,0,0,0,20251001,20251016
IDFM:124238,0,0,1,1,0,0,0,20250919,20251016
IDFM:124243,1,1,1,1,1,0,0,20251001,20251017
IDFM:124270,1,1,0,0,1,0,0,20250919,20250930
IDFM:124627,0,0,1,1,1,0,0,20250919,20251017
IDFM:127513,0,0,0,0,0,1,0,20250920,20250927
IDFM:127532,0,0,0,0,0,1,0,20251004,20251018
IDFM:129007,0,1,1,1,1,0,0,20250919,20251017
IDFM:129367,1,1,1,1,1,1,1,20250919,20251018
IDFM:129418,0,0,0,0,0,1,1,20250920,20251018
IDFM:130034,0,0,0,0,0,0,1,20251012,20251012
IDFM:130048,0,0,0,0,0,1,0,20251011,20251018
IDFM:130049,0,0,0,0,0,0,1,20250921,20251005
IDFM:130058,0,0,0,0,0,1,0,20250920,20251004
IDFM:134413,0,0,0,0,1,1,0,20250919,20251018
IDFM:136819,1,1,0,1,1,1,0,20250919,20251018
IDFM:137526,0,0,1,1,1,1,0,20250919,20251018
IDFM:137527,0,0,1,1,1,1,1,20250919,20251018
IDFM:138970,1,1,1,1,1,1,1,20251001,20251018
IDFM:138972,0,0,0,0,0,0,1,20251005,20251012
IDFM:138978,0,0,0,0,0,1,1,20251004,20251018
IDFM:138986,1,1,0,0,0,0,1,20250922,20251012
IDFM:139000,1,1,1,1,1,0,1,20251001,20251017
IDFM:139005,0,0,1,1,1,1,0,20250920,20251018
IDFM:139012,0,0,0,0,0,0,1,20250920,20251012
IDFM:139021,0,0,0,0,0,0,1,20250919,20251012
IDFM:139040,0,0,0,0,0,1,0,20250920,20251018
IDFM:139050,1,1,1,1,0,1,1,20251001,20251018
IDFM:139062,1,1,1,1,1,1,0,20250922,20251018
IDFM:139101,0,0,1,1,1,0,0,20250920,20251017
IDFM:139131,1,1,1,1,0,0,1,20250921,20251016
IDFM:139388,0,0,0,0,0,1,0,20250919,20251018
IDFM:139436,0,0,0,0,0,1,0,20250922,20251018
IDFM:139574,0,0,0,0,0,1,0,20250919,20251018
IDFM:139729,0,0,1,1,1,0,0,20250920,20251017
IDFM:139733,1,1,1,1,1,1,0,20251001,20251018
IDFM:139735,0,0,1,1,0,0,0,20250920,20251016
IDFM:139801,0,0,1,1,1,0,0,20250919,20251017
IDFM:139886,0,0,1,1,1,1,0,20250920,20251018
IDFM:141106,0,0,0,0,1,1,0,20251003,20251018
IDFM:141165,0,0,0,0,1,1,0,20250920,20251018
IDFM:141247,1,1,0,0,1,1,1,20250919,20250930
IDFM:141249,0,0,0,0,0,0,1,20250921,20250928
IDFM:141294,0,0,0,0,0,1,0,20250920,20251018
IDFM:141297,0,0,0,0,0,1,1,20250920,20250928
IDFM:141302,0,0,0,0,0,1,0,20250921,20251018
IDFM:141310,0,0,1,1,1,1,0,20250921,20251018
IDFM:141323,0,0,0,0,0,1,0,20250920,20251018
IDFM:141333,0,0,0,0,1,0,1,20250919,20250928
IDFM:141362,1,1,0,0,1,0,1,20250919,20250930
IDFM:141376,1,1,0,0,0,0,1,20250921,20250930
IDFM:141443,0,0,0,0,1,1,1,20250919,20250928
IDFM:141516,0,0,1,1,1,1,0,20250920,20251018
IDFM:141523,0,0,0,0,0,1,0,20250921,20251018
IDFM:141548,0,0,1,1,0,0,0,20250921,20251016
IDFM:141601,0,0,0,0,0,1,0,20250919,20251018
IDFM:141616,1,1,0,0,0,1,0,20250920,20250930
IDFM:141665,0,0,0,0,1,0,0,20250922,20251017
IDFM:141671,1,1,1,1,1,0,0,20250922,20251017
IDFM:141718,0,1,0,0,0,0,0,20250923,20250930
IDFM:141720,0,0,0,0,0,1,0,20250922,20251018
IDFM:141883,0,0,0,0,0,1,0,20250920,20251018
IDFM:141913,1,1,1,1,1,0,0,20250920,20251017
IDFM:142008,1,0,0,0,0,0,0,20250922,20250929
IDFM:142025,0,0,0,0,0,1,0,20250919,20251018
IDFM:142028,0,0,0,0,1,1,0,20250919,20250927
IDFM:142053,0,0,0,0,1,0,0,20250920,20251017
IDFM:142605,1,1,0,0,0,1,1,20250920,20250930
IDFM:142669,0,0,1,1,1,0,0,20250921,20251017
IDFM:142675,0,0,1,1,1,0,0,20250920,20251017
IDFM:143237,0,0,0,0,1,0,0,20250923,20251017
IDFM:143313,1,0,1,1,0,0,0,20250922,20251016
IDFM:144503,1,1,1,1,1,1,0,20250920,20251018
IDFM:144599,0,0,0,0,1,0,1,20250921,20251017
IDFM:144701,1,1,1,1,0,0,0,20250919,20251016
IDFM:145322,1,1,1,1,0,1,0,20250920,20251018
IDFM:145857,1,1,1,1,1,0,1,20250921,20251017
IDFM:146509,1,1,1,1,1,1,1,20250920,20251018
IDFM:146547,0,0,0,0,1,0,0,20250919,20251017
IDFM:146548,0,0,0,0,1,0,0,20250922,20251017
IDFM:146549,0,0,0,0,0,1,0,20250919,20251018
IDFM:146553,0,0,0,0,1,1,0,20250919,20251018
IDFM:146561,0,0,0,0,1,0,0,20250919,20250926
IDFM:146562,1,1,1,1,0,0,0,20250922,20250925
IDFM:146742,0,0,0,0,0,1,0,20250920,20250927
